"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"195",195,"Cubic Poly","-13.897120714132","Cubic Poly","16.102879285868","Cubic Poly","-13.4999130057328"
"196",196,"Cubic Poly","-27.6266025716151","Cubic Poly","-24.8993298443423","Cubic Poly","-20.965580020739"
"197",197,"Grompertz","5.68380116799063","Grompertz","9.21321293269652","Grompertz","11.3612722476364"
"198",198,"Cubic Poly","14.2908728987334","Cubic Poly","22.862301470162","Cubic Poly","17.1156196860411"
"199",199,"Cubic Poly","33.7035407562153","Cubic Poly","39.1580862107608","Cubic Poly","37.8696074764964"
"200",200,"Grompertz","-42.0208224990788","Grompertz","-39.2935497718061","Grompertz","-35.3597999482028"
"201",201,"Grompertz","-34.0424629336658","Grompertz","-30.5130511689599","Grompertz","-28.3649918540201"
"202",202,"Grompertz","-17.9590819218059","Grompertz","-7.95908192180592","Grompertz","-15.5345486728659"
"203",203,"Cubic Poly","20.340891525588","Cubic Poly","27.0075581922547","Cubic Poly","23.881142531099"
"204",204,"Cubic Poly","-23.7726032451804","Cubic Poly","36.2273967548196","Cubic Poly","-24.0430524999038"
"205",205,"Grompertz","-43.9393526002401","NA","NA","Grompertz","-44.9805552540998"
"206",206,"Cubic Poly","-5.43104949021616","Cubic Poly","54.5689505097838","Cubic Poly","-5.7014987449396"
"207",207,"Cubic Poly","-6.37347075877845","Cubic Poly","Inf","Cubic Poly","-7.41467341263817"
"208",208,"Cubic Poly","3.82681797786171","Cubic Poly","63.8268179778617","Cubic Poly","3.55636872313827"
"209",209,"Cubic Poly","-6.08757735643353","Cubic Poly","-66.0875773564335","Cubic Poly","-8.04038779426303"
"210",210,"Cubic Poly","10.0558185103264","Cubic Poly","Inf","Cubic Poly","9.0146158564667"
"211",211,"Cubic Poly","-2.31520881758408","Cubic Poly","Inf","Cubic Poly","-3.3564114714438"
"212",212,"Cubic Poly","1.29911529245397","Cubic Poly","61.299115292454","Cubic Poly","1.02866603773053"
